name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,55000.0,57000.0,RUR,Улан-Удэ,2022-12-16T03:13:07+0300
Начальник автотранспортной службы,90000.0,111200.0,RUR,Хабаровск,2022-12-16T01:27:35+0300
Начальник автоколонны,120000.0,120000.0,RUR,Казань,2022-12-16T03:48:39+0300
Программист,60000.0,,RUR,Хабаровск,2022-12-16T01:28:27+0300
Программист-разработчик,,,,Иркутск,2022-12-16T03:43:05+0300
Контент-менеджер,30000.0,45000.0,RUR,Москва,2022-12-16T00:18:39+0300
Корректор,26900.0,,RUR,Хабаровск,2022-12-16T01:22:20+0300
Механик Автоколонны РЭС и Управления,53000.0,,RUR,Хабаровск,2022-12-16T02:41:00+0300
Data Analyst (middle),90000.0,140000.0,RUR,Нижний Новгород,2022-12-16T01:26:03+0300
Редактор машинного перевода (постредактор; маркетинг; русский-английский),,,,Москва,2022-12-16T01:51:42+0300
Начальник автоколонны,120000.0,120000.0,RUR,Челябинск,2022-12-16T03:48:39+0300
Менеджер онлайн-торговли,60000.0,80000.0,RUR,Москва,2022-12-16T01:03:36+0300
Unity Developer,,,,Москва,2022-12-16T00:44:49+0300
Графический дизайнер,40000.0,80000.0,RUR,Краснодар,2022-12-16T01:07:02+0300
Техник по пивному оборудованию,43300.0,43300.0,RUR,Советская Гавань,2022-12-16T03:49:26+0300
Разработчик PL/SQL (Управленческая отчетность ФД КИБ),,,,Нижний Новгород,2022-12-16T01:31:03+0300
Разработчик PL/SQL (Управленческая отчетность ФД КИБ),,,,Москва,2022-12-16T01:30:10+0300
Веб-разработчик (Modx),60000.0,130000.0,RUR,Санкт-Петербург,2022-12-16T00:28:38+0300
Ведущий программист,40000.0,,RUR,Иркутск,2022-12-16T03:34:39+0300
Системный администратор,70000.0,80000.0,RUR,Находка,2022-12-16T03:10:27+0300
Senior DevOps Engineer,4000.0,,USD,США,2022-12-16T01:08:26+0300
Разработчик PL/SQL (Управленческая отчетность ФД КИБ),,,,Санкт-Петербург,2022-12-16T01:31:30+0300
Оператор/печатник трафаретной печати,35000.0,,RUR,Краснодар,2022-12-16T01:22:02+0300
Руководитель проектов (Управленческая отчетность ФД КИБ),,,,Санкт-Петербург,2022-12-16T01:41:05+0300
Начальник отдела информационной безопасности администрации Уссурийского городского округа,45000.0,97000.0,RUR,Уссурийск,2022-12-16T02:34:19+0300
Ведущий инженер ИТ-отдела,56000.0,,RUR,Хабаровск,2022-12-16T03:41:31+0300
Системный администратор,80000.0,,RUR,Чита,2022-12-16T03:22:34+0300
Программист Delphi,180000.0,350000.0,RUR,Москва,2022-12-16T00:07:01+0300
Web-программист,45000.0,65000.0,RUR,Иркутск,2022-12-16T03:26:43+0300
Сервисный инженер,50000.0,,RUR,Хабаровск,2022-12-16T03:20:19+0300
Механик,50000.0,,RUR,Владивосток,2022-12-16T03:26:27+0300
Наладчик фрезерных станков с ЧПУ,100000.0,130000.0,RUR,Санкт-Петербург,2022-12-16T00:20:13+0300
Третий механик,160000.0,160000.0,RUR,Владивосток,2022-12-16T03:59:59+0300
Руководитель проектов (Управленческая отчетность ФД КИБ),,,,Краснодар,2022-12-16T01:41:52+0300
Копирайтер со знанием английского языка (IT-компания),60000.0,80000.0,RUR,Москва,2022-12-16T03:24:40+0300
Бизнес-аналитик Supply Chain&Law,,,,Санкт-Петербург,2022-12-16T02:00:05+0300
Системный администратор,60000.0,,RUR,Екатеринбург,2022-12-16T02:00:00+0300
Руководитель проектов (Управленческая отчетность ФД КИБ),,,,Москва,2022-12-16T01:39:42+0300
Программист Delphi,180000.0,350000.0,RUR,Санкт-Петербург,2022-12-16T00:28:01+0300
Инженер IoT,,,,Москва,2022-12-16T01:28:02+0300
Арт-директор,,,,Санкт-Петербург,2022-12-16T01:26:21+0300
Руководитель команды разработки 1С,,,,Новосибирск,2022-12-16T03:59:59+0300
Менеджер проектов в сфере IT,75000.0,,RUR,Москва,2022-12-16T02:04:28+0300
"Senior Linux Administrator, DevOps",2000.0,3000.0,USD,США,2022-12-16T02:09:38+0300
1с программист,,100000.0,RUR,Хабаровск,2022-12-16T01:27:40+0300
Программист 1С (офис/удаленка),180000.0,,RUR,Москва,2022-12-16T02:56:05+0300
Программист PHP (Full Stack),200000.0,,RUR,Москва,2022-12-16T02:55:11+0300
Кредитный аналитик,100000.0,,RUR,Хабаровск,2022-12-16T03:41:26+0300
Сервисный инженер,,,,Красноярск,2022-12-16T01:03:24+0300
"Auto QA engineer (Автоматизатор тестирования на Python, senior)",,,,Москва,2022-12-16T00:50:59+0300
Мастер по ремонту майнинг оборудования,70000.0,120000.0,RUR,Москва,2022-12-16T01:06:13+0300
UX writer,1400.0,2000.0,USD,Тбилиси,2022-12-16T02:05:10+0300
Менеджер тестовых сред (Управленческая отчетность ФД КИБ),,,,Санкт-Петербург,2022-12-16T01:23:22+0300
Аналитик 1С:ДО,150000.0,180000.0,RUR,Москва,2022-12-16T00:15:14+0300
Специалист сервисного центра,25000.0,40000.0,RUR,Владикавказ,2022-12-16T02:32:28+0300
Team Lead / Development Manager (PHP/Go),,7000.0,USD,Тбилиси,2022-12-16T00:08:24+0300
Инженер КИПиА,60000.0,75000.0,RUR,Рязань,2022-12-16T00:09:13+0300
Ведущий инженер по технологическому контролю (метролог),55000.0,,RUR,Челябинск,2022-12-16T00:09:13+0300
Монтажник РЭА и приборов,40000.0,60000.0,RUR,Санкт-Петербург,2022-12-16T01:03:20+0300
Data Engineer,100000.0,120000.0,RUR,Москва,2022-12-16T02:56:39+0300
Токарь 6 разряд,45000.0,,RUR,Красноярск,2022-12-16T03:41:31+0300
Инженер группы технического сервиса (Златоуст),50000.0,,RUR,Златоуст,2022-12-16T00:09:12+0300
Механик,60000.0,65000.0,RUR,Санкт-Петербург,2022-12-16T00:46:25+0300
Ведущий инженер средств радио и телевидения (г. Юрюзань),70000.0,,RUR,Юрюзань,2022-12-16T00:09:13+0300
Старший электромеханик,30000.0,39000.0,RUR,Дальнереченск,2022-12-16T01:23:58+0300
Senior React Native Engineer,,,,США,2022-12-16T00:18:55+0300
Системный администратор / Специалист по автоматизированным системам управления производством,60000.0,,RUR,Хабаровск,2022-12-16T01:22:38+0300
Дизайнер-декоратор по шторам,55000.0,100000.0,RUR,Южно-Сахалинск,2022-12-16T01:01:11+0300
Инженер средств радио и телевидения (смена),48000.0,52000.0,RUR,Дальнегорск,2022-12-16T01:23:58+0300
"Мастер сервисного центра (сборка, ремонт спортинвентаря) Ким ю Чена 44ж",41000.0,,RUR,Хабаровск,2022-12-16T03:54:41+0300
Инженер средств радио и телевидения,37000.0,42000.0,RUR,Спасск-Дальний,2022-12-16T01:23:57+0300
Менеджер тестовых сред (Управленческая отчетность ФД КИБ),,,,Москва,2022-12-16T01:22:48+0300
Оператор станков с ПУ (гибка),51000.0,51000.0,RUR,Брянск,2022-12-16T03:40:21+0300
Ведущий инженер средств радио и телевидения,55000.0,58000.0,RUR,Уссурийск,2022-12-16T01:23:58+0300
Сетевой инженер,,150000.0,RUR,Москва,2022-12-16T01:03:22+0300
Механик по ремонту горного оборудования,,,,Красноярск,2022-12-16T01:03:24+0300
Программист 1С,120000.0,,RUR,Хабаровск,2022-12-16T03:11:37+0300
Инженер-аналитик в области оптоэлектронных технологий,50000.0,80000.0,RUR,Москва,2022-12-16T00:20:01+0300
Сервисный инженер,,,,Кемерово,2022-12-16T01:03:24+0300
Механик по ремонту горного оборудования,,,,Кемерово,2022-12-16T01:03:24+0300
Backend-программист PHP,120000.0,170000.0,RUR,Владивосток,2022-12-16T03:02:20+0300
UX writer,1400.0,2000.0,USD,Армения,2022-12-16T02:05:10+0300
"Токарь-фрезеровщик (пищевое машиностроение), г. Лобня",115000.0,140000.0,RUR,Москва,2022-12-16T03:29:22+0300
Программист 1С,,,,Екатеринбург,2022-12-16T02:00:00+0300
Старший электромеханик,33000.0,37000.0,RUR,Находка,2022-12-16T01:23:58+0300
Ведущий-инженер программист (системный администратор),68000.0,75000.0,RUR,Владивосток,2022-12-16T01:23:58+0300
Senior Ruby on Rails developer,6000.0,,USD,Минск,2022-12-16T00:23:49+0300
Техник-механик по ремонту двигателей,40000.0,100000.0,RUR,Благовещенск (Амурская область),2022-12-16T02:09:14+0300
Редактор онлайн-журнала (стажёр),,,,Санкт-Петербург,2022-12-16T05:56:59+0300
Веб-разработчик/Web-программист/Front End developer,100000.0,250000.0,KZT,Астана,2022-12-16T06:50:44+0300
Frontend-разработчик,,,,Новокузнецк,2022-12-16T04:42:57+0300
Сборщик радиоэлектронной аппаратуры,45000.0,,RUR,Новосибирск,2022-12-16T06:43:10+0300
Заместитель технического директора по ТОиР,,,,Екатеринбург,2022-12-16T06:13:42+0300
Разработчик мобильных приложений,80000.0,,RUR,Екатеринбург,2022-12-16T06:11:54+0300
Программист-разработчик Java,80000.0,,RUR,Екатеринбург,2022-12-16T06:09:29+0300
Веб-дизайнер,,,,Улан-Удэ,2022-12-16T04:37:58+0300
Системный администратор,40000.0,,RUR,Барнаул,2022-12-16T05:54:32+0300
Программист junior,,,,Новокузнецк,2022-12-16T06:07:12+0300
Backend Developer (Node.js),,,,Томск,2022-12-16T05:49:42+0300
Инженер по безопасности дорожного движения,,,,Свободный,2022-12-16T05:18:34+0300
Дизайнер (маркетплейсы),40000.0,,RUR,Новосибирск,2022-12-16T06:33:29+0300
Инженер-системотехник в отдел системной интеграции,50000.0,,RUR,Улан-Удэ,2022-12-16T06:51:44+0300
Оператор лазерного станка,80000.0,,RUR,Барнаул,2022-12-16T05:03:54+0300
Frontend-разработчик,100000.0,120000.0,RUR,Красноярск,2022-12-16T05:09:28+0300
IT-менеджер,55000.0,60500.0,RUR,Красноярск,2022-12-16T06:51:04+0300
Техник по комплексному обслуживанию и ремонту зданий,60000.0,,RUR,Кемерово,2022-12-16T04:32:05+0300
Редактор-корректор,,,,Улан-Удэ,2022-12-16T06:42:07+0300
Системный администратор,10000.0,15000.0,RUR,Москва,2022-12-16T06:36:50+0300
Механик,32000.0,,RUR,Кемерово,2022-12-16T06:01:53+0300
Системный администратор MS Windows Server,60000.0,100000.0,RUR,Новосибирск,2022-12-16T05:59:28+0300
Механик,,,,Благовещенск (Амурская область),2022-12-16T05:49:26+0300
Оператор станка с ЧПУ,70000.0,,RUR,Омск,2022-12-16T06:22:47+0300
Механик по сервисному обслуживанию карьерной и строительной техники,,200000.0,RUR,Магадан,2022-12-16T04:35:55+0300
Системный администратор,90000.0,,RUR,Новосибирск,2022-12-16T05:40:47+0300
Веб-дизайнер,65000.0,100000.0,RUR,Барнаул,2022-12-16T06:14:59+0300
